!= ( 1 ) 
" ( 1 ) 
"+" ( 1 ) 
"/" ( 1 ) 
"/part-r-00000")); ( 2 ) 
":" ( 2 ) 
"ClassWordCount"); ( 1 ) 
"Classify"); ( 1 ) 
"ExistingWord"); ( 1 ) 
"MultiFileWordCount"); ( 1 ) 
"\t" ( 4 ) 
"utf-8"); ( 2 ) 
(ClassTotalWords.get(newKey.toString())+ ( 1 ) 
(FileSplit)inputSplit; ( 1 ) 
(IntWritable)ReflectionUtils.newInstance(reader.getValueClass(), ( 1 ) 
(IntWritable)ReflectionUtils.newInstance(reader1.getValueClass(), ( 1 ) 
(IntWritable)ReflectionUtils.newInstance(reader2.getValueClass(), ( 1 ) 
(IntWritable)ReflectionUtils.newInstance(reader3.getValueClass(), ( 1 ) 
(Text) ( 1 ) 
(Text)ReflectionUtils.newInstance(reader1.getKeyClass(), ( 1 ) 
(Text)ReflectionUtils.newInstance(reader2.getKeyClass(), ( 1 ) 
(Text)ReflectionUtils.newInstance(reader3.getKeyClass(), ( 1 ) 
(fn) ( 1 ) 
(fp) ( 1 ) 
(itr.hasMoreTokens()) ( 1 ) 
(tn) ( 1 ) 
(tp) ( 1 ) 
(value3.get()+1) ( 1 ) 
(value3.get()+1)/(ClassTotalWords.get(newKey.toString())+TotalDiffWords)); ( 1 ) 
); ( 1 ) 
+ ( 19 ) 
+= ( 4 ) 
+TotalDiffWords)); ( 1 ) 
+newValue); ( 1 ) 
-Averaging）：是先对每一个类统计指标值，然后在对所有类求算术平均值。 ( 1 ) 
-put命令将数据上传至HDFS，数据上传过程花了将近40分钟，主要是因为小文件过多，还有一个原因是副本数配置为2，所以除了上传原文件之外，每个文件还会额外创建一个副本。以后可以将小文件合并为Sequence文件再上传至HDFS处理，增加处理速度。 ( 1 ) 
... ( 2 ) 
...> ( 2 ) 
// ( 47 ) 
//<<class:word>,wordcounts/(classTotalNums+TotalDiffWords)> ( 1 ) 
//Key为文件路径，value为文件内容，都为Text格式 ( 1 ) 
//System.out.println(key+":"+value.get()+"/"+totalWords+"\t"+value.get()/totalWords); ( 1 ) 
//System.out.println(key1.toString() ( 1 ) 
//System.out.println(key3.toString() ( 1 ) 
//System.out.println(newKey ( 1 ) 
//job2的输入输出文件路径 ( 1 ) 
//job3的输入输出文件路径 ( 1 ) 
//job的输入输出文件路径 ( 1 ) 
//不切分文件，一个split读入整个文件 ( 1 ) 
//主的控制容器，控制上面的子作业 ( 1 ) 
//作业之间依赖关系 ( 1 ) 
//先在tempvalue中放入类Ci的先验概率***** ( 1 ) 
//初始化概率值，并存入Hashtable ( 1 ) 
//加入控制容器 ( 4 ) 
//启动线程 ( 1 ) 
//如果作业成功完成，就打印成功作业的信息 ( 1 ) 
//如果测试文档的单词在训练集中出现过，则直接加上之前计算的概率 ( 1 ) 
//对于同一个类别没有出现过的单词的概率一样，1/(ClassTotalWords.get(class) ( 1 ) 
//将key的格式设置为'class:word' ( 1 ) 
//将文件路径作为Key,文本内容作为value ( 2 ) 
